Mesure_ID,Vibration_mm_s,Courant_A,Cadence_u_h,Taux_Rebuts_pct
1,1.1882960800320648,12.443562193606736,315.052255766118,1.5828229151859976
2,2.3396145305410196,10.712835626275334,297.94366202457667,1.0564220093200516
3,2.184170212398802,11.892496000770372,313.2534157677109,0.9634889022344586
4,2.069526285444787,11.827851679328209,321.8275763419506,0.705903927524901
5,2.2850038404173194,11.781834544669378,312.84605223238395,1.4473170365041519
6,2.284096470777915,12.509296802223083,294.2518251624664,1.3383299875286316
7,2.0641645631176657,12.634725189179221,326.8098747449863,1.2372243977710706
8,1.9161093083049203,12.516653082813987,317.6160856042597,1.174028572030805
9,1.8623432724569648,12.338915358077562,305.45607352122283,0.6509030641205129
10,2.1389108678887157,12.085637707656176,304.63309216372664,0.9617434271108938
11,2.461020353710185,9.848792995887692,311.3578731711088,1.180558464524633
12,1.9660419534657296,12.777892628938172,299.6962770956088,0.8844456818315372
13,2.4872375439525185,12.488354095106477,277.26952018975896,0.9084838720397235
14,2.123140316239296,11.015238723328759,317.75268168644845,0.9139288233800499
15,4.374145990109099,19.642609114287907,316.74263133781,2.2587950358599573
16,2.793686124216911,12.647938481080223,265.8818785831557,1.5004411478441468
17,2.5453838113520826,13.17124706522506,313.6814944251733,1.465919537832197
18,4.633502517673605,18.439700692299112,334.8602201611251,4.920021607092755
19,1.7367874927389368,12.321601806816368,285.83014799604985,1.2801064148863652
20,2.723420225711576,12.946772317500743,303.7540480548579,1.3893588934690995
21,3.53598430629477,18.37401390358601,301.906300659721,4.261318290880643
22,1.9249279106813428,12.412003219595052,333.227002884305,0.7871069219423141
23,1.287448023573631,11.378886805796178,324.05609975066835,0.9990241781242766
24,2.1076759721027614,13.110296707621304,290.0669255092887,0.9298436692273915
25,1.642493193826129,10.390288885743328,310.81601489709493,1.3416803817852585
26,2.134723763420507,12.816737174150324,344.14542624871797,1.1449653557111301
27,1.6166835060315616,12.017708961848006,294.37996571460064,0.9654328103125999
28,2.593240946472285,12.965387330726292,304.8103856777914,1.1727806816752495
29,2.1820194077493205,11.219455629608703,313.72962415928953,0.8722445600762059
30,2.75235761999736,12.089983578816296,294.62907265477264,1.2026443508087683
31,1.6624020696074708,12.060630089731278,334.97445244487665,1.4808744197655548
32,2.511229150753632,12.433883560050456,296.96463889518014,1.2333532578897104
33,1.405104902379167,10.95243804935202,281.3864028048887,1.673334527511229
34,2.068664907236517,12.636215088084354,296.0753053384231,0.9249203433821036
35,1.7915643704191562,10.154105871927642,316.10134146516486,1.225161157886452
36,2.889141718273411,16.561894896806663,291.43103986217767,3.7325347424887916
37,1.8295561820900865,10.4372699928608,310.13738961074074,1.2939479935392963
38,1.6981436588340615,12.828219399685626,314.5633574824083,1.2074023963980995
39,1.5843028588052714,12.400130777509036,284.4481212846459,1.4041552288369261
40,1.853999153712615,12.456038646898737,295.4170623008982,1.2240555957142714
41,2.0382893711046672,13.473189396248559,310.93250461214717,0.8826545890995375
42,2.384019137686586,11.684058330838198,316.94100672005976,1.3379747857133986
43,2.097465630884948,12.60958568141266,295.84067166395016,1.0852699143578886
44,2.3849582664271476,12.066022347176474,307.58012927421646,1.0365356616402701
45,1.512201632254157,11.913765445331391,300.1730837543221,1.3863228488369779
46,1.8571200961161152,13.306625832078897,317.3734529036101,1.2969688030604427
47,2.2346316233150203,14.081879363402042,313.8300308458153,1.0374192063071201
48,2.113252949411148,11.568533337136586,298.6507887416736,1.0378392792805307
49,1.7158122121624713,12.833719591519882,313.1335454703347,0.8726488129651135
50,2.3082427344147476,12.31911691264681,297.9858276795241,0.797962996090724
51,1.824679849955681,12.331112422450442,312.77515322406015,1.0705953766989635
52,1.743470024740072,12.247177729033488,313.012007270858,1.2992116259177622
53,2.1606927609639466,11.666922008538842,345.30779098566467,1.0013566024428986
54,2.0020358905602977,8.415019439078298,299.2835418842301,1.3855613025832634
55,1.8274389294405586,13.534809324598488,302.5984357216206,1.0774471419386586
56,1.8162333866684555,11.3052674123276,293.9970627933339,1.0807356392440104
57,1.6469670560637897,11.758442855049392,287.4419971375837,1.1194536587852155
58,1.8694030788005747,11.779707099981913,297.24017160892885,1.3068929593721341
59,2.363003113710854,11.216196606746623,316.306711818761,0.9899160674888058
